Ticker,Annual Volatility
A,0.2623636892778158
AAPL,0.21188512663210524
ABBV,0.21610787344504265
ABNB,0.35667980907581054
ABT,0.17984566482072825
ACGL,0.23322703416665058
ACN,0.22703412103864257
ADBE,0.3450638853882284
ADI,0.2956328789326612
ADM,0.2916387834594434
ADP,0.17626875726061017
ADSK,0.2713223887275767
AEE,0.19320227398975334
AEP,0.192718921261023
AES,0.37354735431455954
AFL,0.19183590059127134
AIG,0.20778260140118787
AIZ,0.2185034684326979
AJG,0.17772441222790114
AKAM,0.2667050043044779
ALB,0.5338136136125936
ALGN,0.43306955557265175
ALL,0.2259400194127892
ALLE,0.22223225911383468
AMAT,0.38882453393194405
AMCR,0.2143259742353345
AMD,0.4677034500256609
AME,0.19541665369549532
AMGN,0.24038662416752749
AMP,0.20950177923968952
AMT,0.25431952238447453
AMZN,0.2882962798917197
ANET,0.4327037663754098
AON,0.19867019095248312
AOS,0.23431530446197613
APA,0.34645177775875624
APD,0.2705784326125053
APH,0.23439266357778735
APO,0.2992951425023254
APP,0.7226951762442922
APTV,0.3619966046139995
ARE,0.3035610079147143
ARES,0.2653819181126274
ATO,0.15725730899049264
AVB,0.19206006025807348
AVGO,0.4739622738680032
AVY,0.18968701105436442
AWK,0.20610536127316945
AXON,0.42469995612745054
AXP,0.23212367631517972
AZO,0.21173061230886997
BA,0.3134208284970685
BAC,0.2370606815936254
BALL,0.2654314718204047
BAX,0.2760723922571028
BBY,0.3041450786586971
BDX,0.19052920135279122
BEN,0.2871780187941018
BG,0.23553682773594875
BIIB,0.2376331510918269
BK,0.19322485276096774
BKNG,0.25978451873926917
BKR,0.2583499158201758
BLDR,0.4319159034822519
BLK,0.19244838899426997
BMY,0.25513279034508146
BR,0.17800128358297929
BRO,0.18291899212037258
BSX,0.18682981420924685
BX,0.29885234059937504
BXP,0.36465564332338296
C,0.2474687311634672
CAG,0.20865125602001403
CAH,0.21202575220321762
CARR,0.2835511121778324
CASY,0.26728984998390354
CAT,0.2703460522325927
CB,0.1781020223077448
CBOE,0.19857541651181565
CBRE,0.27117127266632135
CCI,0.2409728368774918
CCL,0.4555479241093687
CDNS,0.3224055895286006
CDW,0.24276846572648902
CEG,0.44030376061133314
CF,0.28277905559680244
CFG,0.34577079597137383
CHD,0.1707525626824931
CHRW,0.28477209965085204
CHTR,0.3692179084336279
CI,0.28009952795192383
CIEN,0.39089382500344694
CINF,0.21458625946165555
CL,0.15068650331475866
CLX,0.21744352311315793
CMCSA,0.23045004709325972
CME,0.16615335013045787
CMG,0.2682178951072428
CMI,0.2373949254069832
CMS,0.17543081839971755
CNC,0.28506867534635244
CNP,0.19616434406315728
COF,0.29453394958108825
COHR,0.6123543680327979
COIN,0.8259959428684291
COO,0.2359700238764686
COP,0.23109443492925982
COR,0.16696589623183758
COST,0.18201201335573117
CPAY,0.24515395174067264
CPB,0.2205014038608412
CPRT,0.22761224815890793
CPT,0.21785506406843316
CRH,0.2582954920655245
CRL,0.34680260300707705
CRM,0.32528767656552365
CRWD,0.4431641237899949
CSCO,0.18671133123242148
CSGP,0.28106553972193754
CSX,0.20343245162972468
CTAS,0.20609556524897085
CTRA,0.24292163152367127
CTSH,0.20886353877487351
CTVA,0.2817774532714647
CVNA,1.1051478848938294
CVS,0.32632562321375724
CVX,0.2026213291338816
D,0.23366696589832925
DAL,0.3115250584959316
DASH,0.35871433248819207
DD,0.24372353823025492
DDOG,0.45583917293468845
DE,0.24058456047483456
DECK,0.3752830872972847
DELL,0.5235702822668238
DG,0.4307272456983962
DGX,0.19259338279195187
DHI,0.3147214007111054
DHR,0.22213376875481705
DIS,0.2597330989668893
DLR,0.27387740190962434
DLTR,0.38144921547937977
DOC,0.26121641516673366
DOV,0.20709004101117987
DOW,0.2065569683633341
DPZ,0.27602975189059825
DRI,0.24240846474378888
DTE,0.18501731174223193
DUK,0.16908901899598242
DVA,0.34064768720743877
DVN,0.2734916025936648
DXCM,0.498102259418684
EA,0.18305006241739855
EBAY,0.2573163786615827
ECL,0.1828958039751623
ED,0.1687035314902678
EFX,0.2833193057245131
EG,0.2440666943452361
EIX,0.19239932520953126
EL,0.43099130409854597
ELV,0.23333906455541872
EME,0.2891828543792397
EMR,0.2423167304333145
EOG,0.23832771531027616
EPAM,0.43986244272456565
EQIX,0.24241521513809935
